Size 1000:
Insertion Sort Duration: ,0.000030
Quick Sort Duration: ,0.000307
Merge Sort Duration: ,0.000391
Shell Sort Duration: ,0.000166
Intro Sort Duration: ,0.000254
Tim Sort Duration: ,0.000193

Size 5000:
Insertion Sort Duration: ,0.000150
Quick Sort Duration: ,0.002031
Merge Sort Duration: ,0.002615
Shell Sort Duration: ,0.001092
Intro Sort Duration: ,0.001756
Tim Sort Duration: ,0.001526

Size 10000:
Insertion Sort Duration: ,0.000388
Quick Sort Duration: ,0.008027
Merge Sort Duration: ,0.011709
Shell Sort Duration: ,0.004711
Intro Sort Duration: ,0.007211
Tim Sort Duration: ,0.006376

Size 25000:
Insertion Sort Duration: ,0.001527
Quick Sort Duration: ,0.024735
Merge Sort Duration: ,0.030542
Shell Sort Duration: ,0.012864
Intro Sort Duration: ,0.021514
Tim Sort Duration: ,0.016716

Size 50000:
Insertion Sort Duration: ,0.002980
Quick Sort Duration: ,0.049762
Merge Sort Duration: ,0.065438
Shell Sort Duration: ,0.027574
Intro Sort Duration: ,0.042957
Tim Sort Duration: ,0.029652

Size 100000:
Insertion Sort Duration: ,0.006172
Quick Sort Duration: ,0.081442
Merge Sort Duration: ,0.066153
Shell Sort Duration: ,0.051091
Intro Sort Duration: ,0.101548
Tim Sort Duration: ,0.065314

