Size 1000:
Insertion Sort Duration: ,0.004906
Quick Sort Duration: ,0.000507
Merge Sort Duration: ,0.000540
Shell Sort Duration: ,0.000498
Intro Sort Duration: ,0.000532
Tim Sort Duration: ,0.000528

Size 5000:
Insertion Sort Duration: ,0.193968
Quick Sort Duration: ,0.005486
Merge Sort Duration: ,0.006265
Shell Sort Duration: ,0.005897
Intro Sort Duration: ,0.004765
Tim Sort Duration: ,0.005087

Size 10000:
Insertion Sort Duration: ,0.530596
Quick Sort Duration: ,0.009919
Merge Sort Duration: ,0.008337
Shell Sort Duration: ,0.008063
Intro Sort Duration: ,0.006192
Tim Sort Duration: ,0.005975

Size 25000:
Insertion Sort Duration: ,3.473149
Quick Sort Duration: ,0.034680
Merge Sort Duration: ,0.037317
Shell Sort Duration: ,0.042620
Intro Sort Duration: ,0.029036
Tim Sort Duration: ,0.029883

Size 50000:
Insertion Sort Duration: ,15.768638
Quick Sort Duration: ,0.043613
Merge Sort Duration: ,0.061708
Shell Sort Duration: ,0.080271
Intro Sort Duration: ,0.052478
Tim Sort Duration: ,0.042038

Size 100000:
Insertion Sort Duration: ,59.514467
Quick Sort Duration: ,0.191817
Merge Sort Duration: ,0.236551
Shell Sort Duration: ,0.138560
Intro Sort Duration: ,0.147208
Tim Sort Duration: ,0.159140

