Size 1000:
Insertion Sort Duration: ,0.006795
Quick Sort Duration: ,0.000559
Merge Sort Duration: ,0.000666
Shell Sort Duration: ,0.000500
Intro Sort Duration: ,0.000522
Tim Sort Duration: ,0.000686

Size 5000:
Insertion Sort Duration: ,0.138775
Quick Sort Duration: ,0.002582
Merge Sort Duration: ,0.002958
Shell Sort Duration: ,0.003119
Intro Sort Duration: ,0.002310
Tim Sort Duration: ,0.002560

Size 10000:
Insertion Sort Duration: ,0.518495
Quick Sort Duration: ,0.006558
Merge Sort Duration: ,0.013475
Shell Sort Duration: ,0.014131
Intro Sort Duration: ,0.010703
Tim Sort Duration: ,0.011521

Size 25000:
Insertion Sort Duration: ,4.453994
Quick Sort Duration: ,0.020277
Merge Sort Duration: ,0.020196
Shell Sort Duration: ,0.022069
Intro Sort Duration: ,0.015182
Tim Sort Duration: ,0.016271

Size 50000:
Insertion Sort Duration: ,15.312148
Quick Sort Duration: ,0.067608
Merge Sort Duration: ,0.085352
Shell Sort Duration: ,0.052556
Intro Sort Duration: ,0.039090
Tim Sort Duration: ,0.062835

Size 100000:
Insertion Sort Duration: ,58.375070
Quick Sort Duration: ,0.099863
Merge Sort Duration: ,0.160444
Shell Sort Duration: ,0.135024
Intro Sort Duration: ,0.096631
Tim Sort Duration: ,0.134050

