Size 1000:
Insertion Sort Duration: ,0.001458
Quick Sort Duration: ,0.000692
Merge Sort Duration: ,0.000869
Shell Sort Duration: ,0.000470
Intro Sort Duration: ,0.000534
Tim Sort Duration: ,0.000585

Size 5000:
Insertion Sort Duration: ,0.036131
Quick Sort Duration: ,0.004857
Merge Sort Duration: ,0.005863
Shell Sort Duration: ,0.003111
Intro Sort Duration: ,0.003631
Tim Sort Duration: ,0.003479

Size 10000:
Insertion Sort Duration: ,0.129108
Quick Sort Duration: ,0.005017
Merge Sort Duration: ,0.006381
Shell Sort Duration: ,0.004313
Intro Sort Duration: ,0.004611
Tim Sort Duration: ,0.004292

Size 25000:
Insertion Sort Duration: ,0.607591
Quick Sort Duration: ,0.019985
Merge Sort Duration: ,0.033567
Shell Sort Duration: ,0.022225
Intro Sort Duration: ,0.027166
Tim Sort Duration: ,0.023310

Size 50000:
Insertion Sort Duration: ,2.677323
Quick Sort Duration: ,0.047462
Merge Sort Duration: ,0.068237
Shell Sort Duration: ,0.024961
Intro Sort Duration: ,0.025356
Tim Sort Duration: ,0.025027

Size 100000:
Insertion Sort Duration: ,9.696499
Quick Sort Duration: ,0.117789
Merge Sort Duration: ,0.150929
Shell Sort Duration: ,0.058742
Intro Sort Duration: ,0.052713
Tim Sort Duration: ,0.058887

