Size 1000:
Insertion Sort Duration: ,0.000078
Quick Sort Duration: ,0.000065
Merge Sort Duration: ,0.000104
Shell Sort Duration: ,0.000039
Intro Sort Duration: ,0.000054
Tim Sort Duration: ,0.000042

Size 5000:
Insertion Sort Duration: ,0.001808
Quick Sort Duration: ,0.000423
Merge Sort Duration: ,0.000494
Shell Sort Duration: ,0.000269
Intro Sort Duration: ,0.000286
Tim Sort Duration: ,0.000273

Size 10000:
Insertion Sort Duration: ,0.007432
Quick Sort Duration: ,0.000826
Merge Sort Duration: ,0.001160
Shell Sort Duration: ,0.000587
Intro Sort Duration: ,0.000695
Tim Sort Duration: ,0.000609

Size 25000:
Insertion Sort Duration: ,0.049693
Quick Sort Duration: ,0.002403
Merge Sort Duration: ,0.003203
Shell Sort Duration: ,0.001713
Intro Sort Duration: ,0.001978
Tim Sort Duration: ,0.001695

Size 50000:
Insertion Sort Duration: ,0.196211
Quick Sort Duration: ,0.005209
Merge Sort Duration: ,0.006326
Shell Sort Duration: ,0.003850
Intro Sort Duration: ,0.004472
Tim Sort Duration: ,0.003639

Size 100000:
Insertion Sort Duration: ,0.789213
Quick Sort Duration: ,0.010221
Merge Sort Duration: ,0.013760
Shell Sort Duration: ,0.008286
Intro Sort Duration: ,0.009766
Tim Sort Duration: ,0.008384

