Size 1000:
Insertion Sort Duration: ,0.000747
Quick Sort Duration: ,0.000131
Merge Sort Duration: ,0.000196
Shell Sort Duration: ,0.000133
Intro Sort Duration: ,0.000147
Tim Sort Duration: ,0.000114

Size 5000:
Insertion Sort Duration: ,0.015392
Quick Sort Duration: ,0.000724
Merge Sort Duration: ,0.001049
Shell Sort Duration: ,0.000895
Intro Sort Duration: ,0.000607
Tim Sort Duration: ,0.000645

Size 10000:
Insertion Sort Duration: ,0.079969
Quick Sort Duration: ,0.002070
Merge Sort Duration: ,0.003366
Shell Sort Duration: ,0.002346
Intro Sort Duration: ,0.001995
Tim Sort Duration: ,0.002343

Size 25000:
Insertion Sort Duration: ,0.554132
Quick Sort Duration: ,0.008856
Merge Sort Duration: ,0.012197
Shell Sort Duration: ,0.013895
Intro Sort Duration: ,0.007820
Tim Sort Duration: ,0.007891

Size 50000:
Insertion Sort Duration: ,1.901465
Quick Sort Duration: ,0.009283
Merge Sort Duration: ,0.016174
Shell Sort Duration: ,0.012991
Intro Sort Duration: ,0.009583
Tim Sort Duration: ,0.008497

Size 100000:
Insertion Sort Duration: ,8.672779
Quick Sort Duration: ,0.053789
Merge Sort Duration: ,0.062714
Shell Sort Duration: ,0.044785
Intro Sort Duration: ,0.023265
Tim Sort Duration: ,0.029433

